(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;24.02.2025;04:08;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Wahlberechtigte;-4;;60490603;;61172771;;-1,11515;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Wählende;-3;;49927315;82,537307;46707343;76,353159;6,893931;6,184149;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;1;429129;0,859507;488483;1,045838;-12,150679;-0,18633;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;2;285228;0,571286;408956;0,875571;-30,2546;-0,304285;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;1;49498186;99,140493;46218860;98,954162;7,095212;0,18633;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;2;49642087;99,428714;46298387;99,124429;7,222066;0,304285;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SPD;1;1;9934614;20,070663;12184096;26,361741;-18,462445;-6,291078;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SPD;1;2;8148284;16,414064;11901558;25,706204;-31,535989;-9,29214;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CDU;2;1;12601967;25,459452;10445920;22,60099;20,640087;2,858462;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CDU;2;2;11194700;22,550825;8774920;18,952971;27,576092;3,597853;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;GRÜNE;3;1;5442912;10,996185;6435380;13,92371;-15,422057;-2,927525;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;GRÜNE;3;2;5761476;11,606031;6814408;14,718457;-15,451555;-3,112426;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FDP;4;1;1623351;3,279617;4019565;8,696807;-59,613764;-5,41719;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FDP;4;2;2148878;4,328742;5291013;11,428072;-59,386265;-7,09933;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;AfD;5;1;10175438;20,557194;4699926;10,168849;116,50209;10,388345;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;AfD;5;2;10327148;20,803211;4809233;10,387474;114,735863;10,415737;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CSU;6;1;3271730;6,609798;2788048;6,032273;17,34841;0,577524;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CSU;6;2;2963732;5,9702;2402827;5,189872;23,343545;0,780328;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die Linke;7;1;3932584;7,944905;2286070;4,946184;72,023779;2,998721;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die Linke;7;2;4355382;8,773567;2255864;4,872446;93,069352;3,901121;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;1;1254488;2,534412;1332710;2,883477;-5,869394;-0,349065;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;2;769170;1,549431;1125667;2,431331;-31,669846;-0,8819;;
